case_index,scenario,kind,truth,top1,top3,correct,rank
24,ambiguous_competitors,file_path,,services/payment/recovery_7136.py,services/payment/recovery_7136.py|services/payment/recovery_9382.py,0,
25,stale_then_confirmed,request_id,req-5843,req-5843,req-5843|req-2553,1,1
26,speculative_loop,exception,,PaymentRecovery3358Error,PaymentRecovery3358Error|PaymentRecovery9543Error,0,
27,ambiguous_competitors,request_id,,req-8941,req-8941|req-1936,0,
28,two_hop_join,function_name,recover_payment_state_3320,recover_payment_state_3320,recover_payment_state_3320,1,1
29,competing_bridges,class_name,PaymentRecoveryNode2224,PaymentRecoveryNode2224,PaymentRecoveryNode2224|PaymentRecoveryNode2748,1,1
30,mixed_evidence,request_id,req-1299,req-1299,req-1299|req-4804,1,1
31,late_single_cause,class_name,PaymentRecoveryNode2319,PaymentRecoveryNode2319,PaymentRecoveryNode2319|PaymentRecoveryNode7228,1,1
32,isolated_observations,config_key,,,,1,
33,two_hop_join,exception,PaymentRecovery5324Error,PaymentRecovery5324Error,PaymentRecovery5324Error,1,1
34,three_tool_chain,request_id,req-5500,req-5500,req-5500,1,1
35,bridge_with_noise,exception,PaymentRecovery9171Error,PaymentRecovery9171Error,PaymentRecovery9171Error|PaymentRecovery0896Error,1,1
36,competing_bridges,test_name,test_payment_recovery_1094,test_payment_recovery_1094,test_payment_recovery_1094|test_payment_recovery_1313,1,1
37,three_tool_chain,test_name,test_payment_recovery_4259,test_payment_recovery_4259,test_payment_recovery_4259,1,1
38,mixed_evidence,test_name,test_payment_recovery_2933,test_payment_recovery_2933,test_payment_recovery_2933|test_payment_recovery_6655,1,1
39,two_hop_join,test_name,test_payment_recovery_2624,test_payment_recovery_2624,test_payment_recovery_2624,1,1
40,ambiguous_competitors,file_path,,services/payment/recovery_4671.py,services/payment/recovery_4671.py|services/payment/recovery_1490.py,0,
41,competing_bridges,exception,PaymentRecovery7663Error,PaymentRecovery7663Error,PaymentRecovery7663Error|PaymentRecovery8208Error,1,1
42,mixed_evidence,exception,PaymentRecovery7414Error,PaymentRecovery7414Error,PaymentRecovery7414Error|PaymentRecovery1047Error,1,1
43,late_single_cause,config_key,PAYMENT_RECOVERY_6729,PAYMENT_RECOVERY_6729,PAYMENT_RECOVERY_6729|PAYMENT_RECOVERY_6976,1,1
44,stale_then_confirmed,request_id,req-7401,req-7401,req-7401|req-3720,1,1
45,isolated_observations,class_name,,,,1,
46,competing_bridges,file_path,services/payment/recovery_4404.py,services/payment/recovery_4404.py,services/payment/recovery_4404.py|services/payment/recovery_1871.py,1,1
47,diagnostic_fork,file_path,services/payment/recovery_0153.py,services/payment/recovery_0153.py,services/payment/recovery_0153.py,1,1
48,late_single_cause,config_key,PAYMENT_RECOVERY_0646,PAYMENT_RECOVERY_0646,PAYMENT_RECOVERY_0646|PAYMENT_RECOVERY_2351,1,1
49,mixed_evidence,request_id,req-8764,req-8764,req-8764|req-9222,1,1
50,competing_bridges,test_name,test_payment_recovery_4456,test_payment_recovery_4456,test_payment_recovery_4456|test_payment_recovery_8920,1,1
51,isolated_observations,config_key,,,,1,
52,late_single_cause,test_name,test_payment_recovery_6977,test_payment_recovery_6977,test_payment_recovery_6977|test_payment_recovery_9078,1,1
53,ambiguous_competitors,config_key,,PAYMENT_RECOVERY_2663,PAYMENT_RECOVERY_2663|PAYMENT_RECOVERY_6111,0,
54,bridge_with_noise,function_name,recover_payment_state_0235,recover_payment_state_0235,recover_payment_state_0235|recover_payment_state_5626,1,1
55,speculative_loop,function_name,,recover_payment_state_6105,recover_payment_state_6105|recover_payment_state_9394,0,
56,diagnostic_fork,request_id,req-6840,req-6840,req-6840,1,1
57,bridge_with_noise,test_name,test_payment_recovery_5096,test_payment_recovery_5096,test_payment_recovery_5096|test_payment_recovery_2040,1,1
58,competing_bridges,class_name,PaymentRecoveryNode6094,PaymentRecoveryNode6094,PaymentRecoveryNode6094|PaymentRecoveryNode2231,1,1
59,three_tool_chain,config_key,PAYMENT_RECOVERY_0337,PAYMENT_RECOVERY_0337,PAYMENT_RECOVERY_0337,1,1
60,diagnostic_fork,file_path,services/payment/recovery_9595.py,services/payment/recovery_9595.py,services/payment/recovery_9595.py,1,1
61,isolated_observations,function_name,,,,1,
62,ambiguous_competitors,class_name,,PaymentRecoveryNode7212,PaymentRecoveryNode7212|PaymentRecoveryNode5717,0,
63,mixed_evidence,config_key,PAYMENT_RECOVERY_0384,PAYMENT_RECOVERY_0384,PAYMENT_RECOVERY_0384|PAYMENT_RECOVERY_0366,1,1
64,bridge_with_noise,function_name,recover_payment_state_1208,recover_payment_state_1208,recover_payment_state_1208|recover_payment_state_6407,1,1
65,three_tool_chain,request_id,req-1862,req-1862,req-1862,1,1
66,bridge_with_noise,test_name,test_payment_recovery_7521,test_payment_recovery_7521,test_payment_recovery_7521|test_payment_recovery_0487,1,1
67,ambiguous_competitors,config_key,,PAYMENT_RECOVERY_3351,PAYMENT_RECOVERY_3351|PAYMENT_RECOVERY_7714,0,
68,stale_then_confirmed,function_name,recover_payment_state_0202,recover_payment_state_0202,recover_payment_state_0202|recover_payment_state_3105,1,1
69,speculative_loop,class_name,,PaymentRecoveryNode4488,PaymentRecoveryNode4488|PaymentRecoveryNode3198,0,
70,diagnostic_fork,request_id,req-1217,req-1217,req-1217,1,1
71,stale_then_confirmed,exception,PaymentRecovery1058Error,PaymentRecovery1058Error,PaymentRecovery1058Error|PaymentRecovery6385Error,1,1
72,diagnostic_fork,file_path,services/payment/recovery_2839.py,services/payment/recovery_2839.py,services/payment/recovery_2839.py,1,1
73,stale_then_confirmed,test_name,test_payment_recovery_2546,test_payment_recovery_2546,test_payment_recovery_2546|test_payment_recovery_1499,1,1
74,two_hop_join,test_name,test_payment_recovery_9558,test_payment_recovery_9558,test_payment_recovery_9558,1,1
75,bridge_with_noise,test_name,test_payment_recovery_7207,test_payment_recovery_7207,test_payment_recovery_7207|test_payment_recovery_5454,1,1
76,mixed_evidence,exception,PaymentRecovery5546Error,PaymentRecovery5546Error,PaymentRecovery5546Error|PaymentRecovery2245Error,1,1
77,bridge_with_noise,class_name,PaymentRecoveryNode6801,PaymentRecoveryNode6801,PaymentRecoveryNode6801|PaymentRecoveryNode3998,1,1
78,speculative_loop,exception,,PaymentRecovery7380Error,PaymentRecovery7380Error|PaymentRecovery5637Error,0,
79,three_tool_chain,config_key,PAYMENT_RECOVERY_5668,PAYMENT_RECOVERY_5668,PAYMENT_RECOVERY_5668,1,1
80,bridge_with_noise,request_id,req-5901,req-5901,req-5901|req-1741,1,1
81,mixed_evidence,file_path,services/payment/recovery_9753.py,services/payment/recovery_9753.py,services/payment/recovery_9753.py|services/payment/recovery_1147.py,1,1
82,mixed_evidence,class_name,PaymentRecoveryNode7417,PaymentRecoveryNode7417,PaymentRecoveryNode7417|PaymentRecoveryNode1994,1,1
83,stale_then_confirmed,test_name,test_payment_recovery_5811,test_payment_recovery_5811,test_payment_recovery_5811|test_payment_recovery_7539,1,1
84,mixed_evidence,config_key,PAYMENT_RECOVERY_9711,PAYMENT_RECOVERY_9711,PAYMENT_RECOVERY_9711|PAYMENT_RECOVERY_6209,1,1
85,isolated_observations,function_name,,,,1,
86,speculative_loop,request_id,,req-1166,req-1166|req-3328,0,
87,isolated_observations,request_id,,,,1,
88,two_hop_join,file_path,services/payment/recovery_1155.py,services/payment/recovery_1155.py,services/payment/recovery_1155.py,1,1
89,ambiguous_competitors,function_name,,recover_payment_state_4499,recover_payment_state_4499|recover_payment_state_8061,0,
90,three_tool_chain,class_name,PaymentRecoveryNode8815,PaymentRecoveryNode8815,PaymentRecoveryNode8815,1,1
91,stale_then_confirmed,class_name,PaymentRecoveryNode4047,PaymentRecoveryNode4047,PaymentRecoveryNode4047|PaymentRecoveryNode1209,1,1
92,three_tool_chain,config_key,PAYMENT_RECOVERY_2994,PAYMENT_RECOVERY_2994,PAYMENT_RECOVERY_2994,1,1
93,speculative_loop,exception,,PaymentRecovery1812Error,PaymentRecovery1812Error|PaymentRecovery5406Error,0,
94,speculative_loop,class_name,,PaymentRecoveryNode6032,PaymentRecoveryNode6032|PaymentRecoveryNode9761,0,
95,diagnostic_fork,file_path,services/payment/recovery_8833.py,services/payment/recovery_8833.py,services/payment/recovery_8833.py,1,1
96,bridge_with_noise,class_name,PaymentRecoveryNode1290,PaymentRecoveryNode1290,PaymentRecoveryNode1290|PaymentRecoveryNode6159,1,1
97,three_tool_chain,function_name,recover_payment_state_0558,recover_payment_state_0558,recover_payment_state_0558,1,1
98,speculative_loop,test_name,,test_payment_recovery_0924,test_payment_recovery_0924|test_payment_recovery_2452,0,
99,isolated_observations,exception,,,,1,
100,three_tool_chain,function_name,recover_payment_state_2272,recover_payment_state_2272,recover_payment_state_2272,1,1
101,late_single_cause,test_name,test_payment_recovery_3171,test_payment_recovery_3171,test_payment_recovery_3171|test_payment_recovery_7868,1,1
102,diagnostic_fork,exception,PaymentRecovery1630Error,PaymentRecovery1630Error,PaymentRecovery1630Error,1,1
103,isolated_observations,exception,,,,1,
104,stale_then_confirmed,exception,PaymentRecovery4956Error,PaymentRecovery4956Error,PaymentRecovery4956Error|PaymentRecovery0911Error,1,1
105,bridge_with_noise,class_name,PaymentRecoveryNode1909,PaymentRecoveryNode1909,PaymentRecoveryNode1909|PaymentRecoveryNode0914,1,1
106,late_single_cause,file_path,services/payment/recovery_8212.py,services/payment/recovery_8212.py,services/payment/recovery_8212.py|services/payment/recovery_9324.py,1,1
107,speculative_loop,file_path,,services/payment/recovery_2925.py,services/payment/recovery_2925.py|services/payment/recovery_9444.py,0,
108,isolated_observations,test_name,,,,1,
109,two_hop_join,request_id,req-1443,req-1443,req-1443,1,1
110,diagnostic_fork,function_name,recover_payment_state_5382,recover_payment_state_5382,recover_payment_state_5382,1,1
111,ambiguous_competitors,exception,,PaymentRecovery0186Error,PaymentRecovery0186Error|PaymentRecovery2268Error,0,
112,stale_then_confirmed,file_path,services/payment/recovery_8353.py,services/payment/recovery_8353.py,services/payment/recovery_8353.py|services/payment/recovery_6331.py,1,1
113,stale_then_confirmed,request_id,req-1530,req-1530,req-1530|req-5882,1,1
114,speculative_loop,file_path,,services/payment/recovery_7898.py,services/payment/recovery_7898.py|services/payment/recovery_1310.py,0,
115,late_single_cause,config_key,PAYMENT_RECOVERY_9139,PAYMENT_RECOVERY_9139,PAYMENT_RECOVERY_9139|PAYMENT_RECOVERY_9022,1,1
116,bridge_with_noise,request_id,req-0917,req-0917,req-0917|req-1616,1,1
117,late_single_cause,config_key,PAYMENT_RECOVERY_2425,PAYMENT_RECOVERY_2425,PAYMENT_RECOVERY_2425|PAYMENT_RECOVERY_5162,1,1
118,diagnostic_fork,file_path,services/payment/recovery_1025.py,services/payment/recovery_1025.py,services/payment/recovery_1025.py,1,1
119,diagnostic_fork,test_name,test_payment_recovery_6717,test_payment_recovery_6717,test_payment_recovery_6717,1,1
120,stale_then_confirmed,class_name,PaymentRecoveryNode6510,PaymentRecoveryNode6510,PaymentRecoveryNode6510|PaymentRecoveryNode0486,1,1
121,two_hop_join,config_key,PAYMENT_RECOVERY_5274,PAYMENT_RECOVERY_5274,PAYMENT_RECOVERY_5274,1,1
122,three_tool_chain,function_name,recover_payment_state_3243,recover_payment_state_3243,recover_payment_state_3243,1,1
123,stale_then_confirmed,test_name,test_payment_recovery_4565,test_payment_recovery_4565,test_payment_recovery_4565|test_payment_recovery_9487,1,1
124,isolated_observations,file_path,,,,1,
125,isolated_observations,config_key,,,,1,
126,two_hop_join,request_id,req-6701,req-6701,req-6701,1,1
127,speculative_loop,config_key,,PAYMENT_RECOVERY_3652,PAYMENT_RECOVERY_3652|PAYMENT_RECOVERY_3276,0,
128,late_single_cause,class_name,PaymentRecoveryNode4507,PaymentRecoveryNode4507,PaymentRecoveryNode4507|PaymentRecoveryNode3471,1,1
129,late_single_cause,request_id,req-5540,req-5540,req-5540|req-0458,1,1
130,two_hop_join,request_id,req-1722,req-1722,req-1722,1,1
131,speculative_loop,request_id,,req-4126,req-4126|req-0937,0,
132,two_hop_join,test_name,test_payment_recovery_1268,test_payment_recovery_1268,test_payment_recovery_1268,1,1
133,competing_bridges,class_name,PaymentRecoveryNode7364,PaymentRecoveryNode7364,PaymentRecoveryNode7364|PaymentRecoveryNode4163,1,1
134,diagnostic_fork,function_name,recover_payment_state_5429,recover_payment_state_5429,recover_payment_state_5429,1,1
135,late_single_cause,exception,PaymentRecovery4326Error,PaymentRecovery4326Error,PaymentRecovery4326Error|PaymentRecovery7602Error,1,1
136,competing_bridges,exception,PaymentRecovery7023Error,PaymentRecovery7023Error,PaymentRecovery7023Error|PaymentRecovery2210Error,1,1
137,two_hop_join,request_id,req-1784,req-1784,req-1784,1,1
138,two_hop_join,file_path,services/payment/recovery_4427.py,services/payment/recovery_4427.py,services/payment/recovery_4427.py,1,1
139,mixed_evidence,file_path,services/payment/recovery_2737.py,services/payment/recovery_2737.py,services/payment/recovery_2737.py|services/payment/recovery_3409.py,1,1
140,two_hop_join,exception,PaymentRecovery1809Error,PaymentRecovery1809Error,PaymentRecovery1809Error,1,1
141,stale_then_confirmed,file_path,services/payment/recovery_9009.py,services/payment/recovery_9009.py,services/payment/recovery_9009.py|services/payment/recovery_4935.py,1,1
142,stale_then_confirmed,test_name,test_payment_recovery_1504,test_payment_recovery_1504,test_payment_recovery_1504|test_payment_recovery_9413,1,1
143,diagnostic_fork,file_path,services/payment/recovery_3463.py,services/payment/recovery_3463.py,services/payment/recovery_3463.py,1,1
144,two_hop_join,test_name,test_payment_recovery_6577,test_payment_recovery_6577,test_payment_recovery_6577,1,1
145,isolated_observations,test_name,,,,1,
146,diagnostic_fork,function_name,recover_payment_state_0771,recover_payment_state_0771,recover_payment_state_0771,1,1
147,isolated_observations,file_path,,,,1,
148,mixed_evidence,test_name,test_payment_recovery_2126,test_payment_recovery_2126,test_payment_recovery_2126|test_payment_recovery_4428,1,1
149,isolated_observations,test_name,,,,1,
150,competing_bridges,file_path,services/payment/recovery_2437.py,services/payment/recovery_2437.py,services/payment/recovery_2437.py|services/payment/recovery_3782.py,1,1
151,diagnostic_fork,test_name,test_payment_recovery_2049,test_payment_recovery_2049,test_payment_recovery_2049,1,1
152,diagnostic_fork,class_name,PaymentRecoveryNode0401,PaymentRecoveryNode0401,PaymentRecoveryNode0401,1,1
153,ambiguous_competitors,test_name,,test_payment_recovery_7736,test_payment_recovery_7736|test_payment_recovery_8302,0,
154,isolated_observations,function_name,,,,1,
155,competing_bridges,request_id,req-0284,req-0284,req-0284|req-8360,1,1
156,diagnostic_fork,config_key,PAYMENT_RECOVERY_7270,PAYMENT_RECOVERY_7270,PAYMENT_RECOVERY_7270,1,1
157,speculative_loop,class_name,,PaymentRecoveryNode4080,PaymentRecoveryNode4080|PaymentRecoveryNode3823,0,
158,bridge_with_noise,class_name,PaymentRecoveryNode7355,PaymentRecoveryNode7355,PaymentRecoveryNode7355|PaymentRecoveryNode5439,1,1
159,stale_then_confirmed,config_key,PAYMENT_RECOVERY_5642,PAYMENT_RECOVERY_5642,PAYMENT_RECOVERY_5642|PAYMENT_RECOVERY_8623,1,1
160,bridge_with_noise,config_key,PAYMENT_RECOVERY_7253,PAYMENT_RECOVERY_7253,PAYMENT_RECOVERY_7253|PAYMENT_RECOVERY_2721,1,1
161,isolated_observations,request_id,,,,1,
162,speculative_loop,test_name,,test_payment_recovery_5186,test_payment_recovery_5186|test_payment_recovery_8798,0,
163,ambiguous_competitors,request_id,,req-7951,req-7951|req-9179,0,
164,stale_then_confirmed,test_name,test_payment_recovery_8663,test_payment_recovery_8663,test_payment_recovery_8663|test_payment_recovery_9068,1,1
165,ambiguous_competitors,request_id,,req-2449,req-2449|req-2496,0,
166,stale_then_confirmed,test_name,test_payment_recovery_7876,test_payment_recovery_7876,test_payment_recovery_7876|test_payment_recovery_0165,1,1
167,speculative_loop,function_name,,recover_payment_state_1168,recover_payment_state_1168|recover_payment_state_7907,0,
168,late_single_cause,config_key,PAYMENT_RECOVERY_6288,PAYMENT_RECOVERY_6288,PAYMENT_RECOVERY_6288|PAYMENT_RECOVERY_0619,1,1
169,bridge_with_noise,test_name,test_payment_recovery_5162,test_payment_recovery_5162,test_payment_recovery_5162|test_payment_recovery_0614,1,1
170,ambiguous_competitors,request_id,,req-8922,req-8922|req-9436,0,
171,diagnostic_fork,request_id,req-0895,req-0895,req-0895,1,1
172,stale_then_confirmed,request_id,req-9748,req-9748,req-9748|req-7732,1,1
173,mixed_evidence,test_name,test_payment_recovery_8346,test_payment_recovery_8346,test_payment_recovery_8346|test_payment_recovery_0623,1,1
174,two_hop_join,function_name,recover_payment_state_9278,recover_payment_state_9278,recover_payment_state_9278,1,1
175,stale_then_confirmed,test_name,test_payment_recovery_1027,test_payment_recovery_1027,test_payment_recovery_1027|test_payment_recovery_0961,1,1
176,diagnostic_fork,file_path,services/payment/recovery_9474.py,services/payment/recovery_9474.py,services/payment/recovery_9474.py,1,1
177,stale_then_confirmed,file_path,services/payment/recovery_8402.py,services/payment/recovery_8402.py,services/payment/recovery_8402.py|services/payment/recovery_6998.py,1,1
178,mixed_evidence,file_path,services/payment/recovery_2257.py,services/payment/recovery_2257.py,services/payment/recovery_2257.py|services/payment/recovery_7548.py,1,1
179,isolated_observations,class_name,,,,1,
180,mixed_evidence,test_name,test_payment_recovery_8805,test_payment_recovery_8805,test_payment_recovery_8805|test_payment_recovery_8138,1,1
181,ambiguous_competitors,test_name,,test_payment_recovery_3535,test_payment_recovery_3535|test_payment_recovery_8242,0,
182,competing_bridges,config_key,PAYMENT_RECOVERY_5042,PAYMENT_RECOVERY_5042,PAYMENT_RECOVERY_5042|PAYMENT_RECOVERY_0825,1,1
183,isolated_observations,request_id,,,,1,
184,mixed_evidence,function_name,recover_payment_state_6383,recover_payment_state_6383,recover_payment_state_6383|recover_payment_state_9024,1,1
185,stale_then_confirmed,request_id,req-9238,req-9238,req-9238|req-5495,1,1
186,late_single_cause,class_name,PaymentRecoveryNode8728,PaymentRecoveryNode8728,PaymentRecoveryNode8728|PaymentRecoveryNode0315,1,1
187,bridge_with_noise,test_name,test_payment_recovery_3475,test_payment_recovery_3475,test_payment_recovery_3475|test_payment_recovery_0143,1,1
188,two_hop_join,exception,PaymentRecovery4038Error,PaymentRecovery4038Error,PaymentRecovery4038Error,1,1
189,speculative_loop,class_name,,PaymentRecoveryNode1000,PaymentRecoveryNode1000|PaymentRecoveryNode7339,0,
190,competing_bridges,class_name,PaymentRecoveryNode1818,PaymentRecoveryNode1818,PaymentRecoveryNode1818|PaymentRecoveryNode6815,1,1
191,isolated_observations,request_id,,,,1,
192,ambiguous_competitors,exception,,PaymentRecovery6430Error,PaymentRecovery6430Error|PaymentRecovery0160Error,0,
193,mixed_evidence,function_name,recover_payment_state_9560,recover_payment_state_9560,recover_payment_state_9560|recover_payment_state_7982,1,1
194,competing_bridges,test_name,test_payment_recovery_7588,test_payment_recovery_7588,test_payment_recovery_7588|test_payment_recovery_7337,1,1
195,stale_then_confirmed,function_name,recover_payment_state_8885,recover_payment_state_8885,recover_payment_state_8885|recover_payment_state_3368,1,1
196,bridge_with_noise,class_name,PaymentRecoveryNode0263,PaymentRecoveryNode0263,PaymentRecoveryNode0263|PaymentRecoveryNode0386,1,1
197,stale_then_confirmed,exception,PaymentRecovery6739Error,PaymentRecovery6739Error,PaymentRecovery6739Error|PaymentRecovery2953Error,1,1
198,speculative_loop,function_name,,recover_payment_state_1881,recover_payment_state_1881|recover_payment_state_8944,0,
199,bridge_with_noise,request_id,req-4257,req-4257,req-4257|req-7825,1,1
200,stale_then_confirmed,file_path,services/payment/recovery_6539.py,services/payment/recovery_6539.py,services/payment/recovery_6539.py|services/payment/recovery_8957.py,1,1
201,bridge_with_noise,exception,PaymentRecovery3484Error,PaymentRecovery3484Error,PaymentRecovery3484Error|PaymentRecovery0270Error,1,1
202,speculative_loop,config_key,,PAYMENT_RECOVERY_7998,PAYMENT_RECOVERY_7998|PAYMENT_RECOVERY_2952,0,
203,isolated_observations,function_name,,,,1,
204,isolated_observations,config_key,,,,1,
205,bridge_with_noise,test_name,test_payment_recovery_3689,test_payment_recovery_3689,test_payment_recovery_3689|test_payment_recovery_2140,1,1
206,two_hop_join,request_id,req-1457,req-1457,req-1457,1,1
207,stale_then_confirmed,test_name,test_payment_recovery_5264,test_payment_recovery_5264,test_payment_recovery_5264|test_payment_recovery_6387,1,1
208,competing_bridges,file_path,services/payment/recovery_7967.py,services/payment/recovery_7967.py,services/payment/recovery_7967.py|services/payment/recovery_9443.py,1,1
209,bridge_with_noise,config_key,PAYMENT_RECOVERY_4562,PAYMENT_RECOVERY_4562,PAYMENT_RECOVERY_4562|PAYMENT_RECOVERY_4818,1,1
210,isolated_observations,exception,,,,1,
211,stale_then_confirmed,request_id,req-4926,req-4926,req-4926|req-9517,1,1
212,ambiguous_competitors,class_name,,PaymentRecoveryNode6129,PaymentRecoveryNode6129|PaymentRecoveryNode8029,0,
213,mixed_evidence,class_name,PaymentRecoveryNode1994,PaymentRecoveryNode1994,PaymentRecoveryNode1994|PaymentRecoveryNode3128,1,1
214,mixed_evidence,function_name,recover_payment_state_5157,recover_payment_state_5157,recover_payment_state_5157|recover_payment_state_8864,1,1
215,speculative_loop,file_path,,services/payment/recovery_9564.py,services/payment/recovery_9564.py|services/payment/recovery_6001.py,0,
216,speculative_loop,config_key,,PAYMENT_RECOVERY_3719,PAYMENT_RECOVERY_3719|PAYMENT_RECOVERY_7501,0,
217,stale_then_confirmed,exception,PaymentRecovery0411Error,PaymentRecovery0411Error,PaymentRecovery0411Error|PaymentRecovery2979Error,1,1
218,three_tool_chain,test_name,test_payment_recovery_0446,test_payment_recovery_0446,test_payment_recovery_0446,1,1
219,late_single_cause,file_path,services/payment/recovery_7950.py,services/payment/recovery_7950.py,services/payment/recovery_7950.py|services/payment/recovery_9041.py,1,1
220,competing_bridges,file_path,services/payment/recovery_1639.py,services/payment/recovery_1639.py,services/payment/recovery_1639.py|services/payment/recovery_8620.py,1,1
221,two_hop_join,config_key,PAYMENT_RECOVERY_7313,PAYMENT_RECOVERY_7313,PAYMENT_RECOVERY_7313,1,1
222,stale_then_confirmed,exception,PaymentRecovery1966Error,PaymentRecovery1966Error,PaymentRecovery1966Error|PaymentRecovery0418Error,1,1
223,diagnostic_fork,file_path,services/payment/recovery_3952.py,services/payment/recovery_3952.py,services/payment/recovery_3952.py,1,1
224,competing_bridges,test_name,test_payment_recovery_2692,test_payment_recovery_2692,test_payment_recovery_2692|test_payment_recovery_7935,1,1
225,stale_then_confirmed,request_id,req-1735,req-1735,req-1735|req-6607,1,1
226,two_hop_join,function_name,recover_payment_state_5201,recover_payment_state_5201,recover_payment_state_5201,1,1
227,bridge_with_noise,exception,PaymentRecovery6215Error,PaymentRecovery6215Error,PaymentRecovery6215Error|PaymentRecovery1933Error,1,1
228,stale_then_confirmed,test_name,test_payment_recovery_2544,test_payment_recovery_2544,test_payment_recovery_2544|test_payment_recovery_2091,1,1
229,late_single_cause,file_path,services/payment/recovery_6934.py,services/payment/recovery_6934.py,services/payment/recovery_6934.py|services/payment/recovery_3966.py,1,1
230,isolated_observations,exception,,,,1,
231,bridge_with_noise,config_key,PAYMENT_RECOVERY_5738,PAYMENT_RECOVERY_5738,PAYMENT_RECOVERY_5738|PAYMENT_RECOVERY_2276,1,1
232,diagnostic_fork,config_key,PAYMENT_RECOVERY_4542,PAYMENT_RECOVERY_4542,PAYMENT_RECOVERY_4542,1,1
233,speculative_loop,function_name,,recover_payment_state_9226,recover_payment_state_9226|recover_payment_state_8206,0,
234,three_tool_chain,file_path,services/payment/recovery_8584.py,services/payment/recovery_8584.py,services/payment/recovery_8584.py,1,1
235,late_single_cause,request_id,req-1224,req-1224,req-1224|req-7675,1,1
236,stale_then_confirmed,request_id,req-1045,req-1045,req-1045|req-3355,1,1
237,speculative_loop,class_name,,PaymentRecoveryNode4206,PaymentRecoveryNode4206|PaymentRecoveryNode8150,0,
238,three_tool_chain,request_id,req-5119,req-5119,req-5119,1,1
239,mixed_evidence,function_name,recover_payment_state_7693,recover_payment_state_7693,recover_payment_state_7693|recover_payment_state_4303,1,1
240,competing_bridges,test_name,test_payment_recovery_1568,test_payment_recovery_1568,test_payment_recovery_1568|test_payment_recovery_9308,1,1
241,speculative_loop,test_name,,test_payment_recovery_8289,test_payment_recovery_8289|test_payment_recovery_9177,0,
242,isolated_observations,exception,,,,1,
243,late_single_cause,file_path,services/payment/recovery_0289.py,services/payment/recovery_0289.py,services/payment/recovery_0289.py|services/payment/recovery_0686.py,1,1
244,two_hop_join,exception,PaymentRecovery0795Error,PaymentRecovery0795Error,PaymentRecovery0795Error,1,1
245,mixed_evidence,file_path,services/payment/recovery_8174.py,services/payment/recovery_8174.py,services/payment/recovery_8174.py|services/payment/recovery_5327.py,1,1
