budget,position,needle,condition,preserved,added_chars,candidate_count,selected_candidates
10,447,req-0447,naive,False,177,18,req-0231 req-0266 req-0260 req-0289 req-0423 req-0077 req-0394 req-0384 test_checkout_consistency FAILED req-0447 req-0380 req-0100 req-0081 req-0256 req-0422 req-0223 req-0105
10,447,req-0447,bridge,True,69,6,req-0447 FAILED test_checkout_consistency req-0105 req-0223 req-0422
10,447,req-0447,oracle,True,9,1,req-0447
10,329,req-0329,user_only,False,0,0,
10,329,req-0329,naive,False,177,18,req-0177 req-0148 req-0147 req-0324 req-0279 req-0121 req-0266 req-0143 test_checkout_consistency FAILED req-0329 req-0192 req-0286 req-0088 req-0276 req-0332 req-0100 req-0075
10,329,req-0329,bridge,True,69,6,req-0329 FAILED test_checkout_consistency req-0075 req-0100 req-0332
10,329,req-0329,oracle,True,9,1,req-0329
10,94,req-0094,user_only,False,0,0,
10,94,req-0094,naive,True,177,18,req-0384 req-0327 req-0057 req-0098 req-0436 req-0172 req-0136 req-0259 test_checkout_consistency FAILED req-0094 req-0299 req-0297 req-0160 req-0256 req-0080 req-0135 req-0245
10,94,req-0094,bridge,True,69,6,req-0094 FAILED test_checkout_consistency req-0245 req-0135 req-0080
10,94,req-0094,oracle,True,9,1,req-0094
10,352,req-0352,user_only,False,0,0,
10,352,req-0352,naive,False,177,18,req-0051 req-0249 req-0185 req-0282 req-0196 req-0266 req-0407 req-0425 test_checkout_consistency FAILED req-0352 req-0334 req-0389 req-0418 req-0299 req-0129 req-0147 req-0201
10,352,req-0352,bridge,True,69,6,req-0352 FAILED test_checkout_consistency req-0201 req-0147 req-0129
10,352,req-0352,oracle,True,9,1,req-0352
10,266,req-0266,user_only,False,0,0,
10,266,req-0266,naive,True,177,18,req-0161 req-0079 req-0347 req-0427 req-0328 req-0081 req-0433 req-0210 test_checkout_consistency FAILED req-0266 req-0075 req-0350 req-0295 req-0308 req-0322 req-0130 req-0311
10,266,req-0266,bridge,True,69,6,req-0266 FAILED test_checkout_consistency req-0311 req-0130 req-0322
10,266,req-0266,oracle,True,9,1,req-0266
10,66,req-0066,user_only,False,0,0,
10,66,req-0066,naive,True,177,18,req-0092 req-0146 req-0086 req-0355 req-0085 req-0396 req-0171 req-0257 test_checkout_consistency FAILED req-0066 req-0112 req-0342 req-0177 req-0347 req-0071 req-0368 req-0265
10,66,req-0066,bridge,True,69,6,req-0066 FAILED test_checkout_consistency req-0265 req-0368 req-0071
10,66,req-0066,oracle,True,9,1,req-0066
10,65,req-0065,user_only,False,0,0,
10,65,req-0065,naive,True,177,18,req-0387 req-0349 req-0340 req-0318 req-0212 req-0184 req-0155 req-0393 test_checkout_consistency FAILED req-0065 req-0417 req-0211 req-0173 req-0186 req-0253 req-0118 req-0394
10,65,req-0065,bridge,True,69,6,req-0065 FAILED test_checkout_consistency req-0394 req-0118 req-0253
10,65,req-0065,oracle,True,9,1,req-0065
10,97,req-0097,user_only,False,0,0,
10,97,req-0097,naive,True,177,18,req-0381 req-0204 req-0285 req-0212 req-0435 req-0087 req-0054 req-0369 test_checkout_consistency FAILED req-0097 req-0339 req-0102 req-0326 req-0160 req-0310 req-0186 req-0118
10,97,req-0097,bridge,True,69,6,req-0097 FAILED test_checkout_consistency req-0118 req-0186 req-0310
10,97,req-0097,oracle,True,9,1,req-0097
10,161,req-0161,user_only,False,0,0,
10,161,req-0161,naive,True,177,18,req-0229 req-0085 req-0176 req-0240 req-0196 req-0130 req-0275 req-0329 test_checkout_consistency FAILED req-0161 req-0411 req-0205 req-0364 req-0385 req-0321 req-0054 req-0392
10,161,req-0161,bridge,True,69,6,req-0161 FAILED test_checkout_consistency req-0392 req-0054 req-0321
10,161,req-0161,oracle,True,9,1,req-0161
10,169,req-0169,user_only,False,0,0,
10,169,req-0169,naive,True,177,18,req-0334 req-0204 req-0390 req-0103 req-0118 req-0186 req-0109 req-0104 test_checkout_consistency FAILED req-0169 req-0431 req-0129 req-0190 req-0195 req-0360 req-0157 req-0418
10,169,req-0169,bridge,True,69,6,req-0169 FAILED test_checkout_consistency req-0418 req-0157 req-0360
10,169,req-0169,oracle,True,9,1,req-0169
10,308,req-0308,user_only,False,0,0,
10,308,req-0308,naive,False,177,18,req-0225 req-0154 req-0402 req-0375 req-0185 req-0309 req-0300 req-0178 test_checkout_consistency FAILED req-0308 req-0076 req-0097 req-0266 req-0191 req-0072 req-0051 req-0220
10,308,req-0308,bridge,True,69,6,req-0308 FAILED test_checkout_consistency req-0220 req-0051 req-0072
10,308,req-0308,oracle,True,9,1,req-0308
10,358,req-0358,user_only,False,0,0,
10,358,req-0358,naive,False,177,18,req-0445 req-0116 req-0377 req-0184 req-0132 req-0430 req-0276 req-0332 test_checkout_consistency FAILED req-0358 req-0412 req-0268 req-0337 req-0054 req-0107 req-0088 req-0404
10,358,req-0358,bridge,True,69,6,req-0358 FAILED test_checkout_consistency req-0404 req-0088 req-0107
10,358,req-0358,oracle,True,9,1,req-0358
10,63,req-0063,user_only,False,0,0,
10,63,req-0063,naive,True,177,18,req-0127 req-0330 req-0069 req-0240 req-0349 req-0333 req-0126 req-0271 test_checkout_consistency FAILED req-0063 req-0116 req-0072 req-0208 req-0237 req-0071 req-0234 req-0158
10,63,req-0063,bridge,True,69,6,req-0063 FAILED test_checkout_consistency req-0158 req-0234 req-0071
10,63,req-0063,oracle,True,9,1,req-0063
10,337,req-0337,user_only,False,0,0,
10,337,req-0337,naive,False,177,18,req-0400 req-0177 req-0392 req-0102 req-0231 req-0450 req-0336 req-0258 test_checkout_consistency FAILED req-0337 req-0368 req-0434 req-0129 req-0171 req-0133 req-0140 req-0261
10,337,req-0337,bridge,True,69,6,req-0337 FAILED test_checkout_consistency req-0261 req-0140 req-0133
10,337,req-0337,oracle,True,9,1,req-0337
10,151,req-0151,user_only,False,0,0,
10,151,req-0151,naive,True,177,18,req-0062 req-0141 req-0428 req-0221 req-0261 req-0393 req-0427 req-0178 test_checkout_consistency FAILED req-0151 req-0187 req-0131 req-0410 req-0105 req-0246 req-0069 req-0291
10,151,req-0151,bridge,True,69,6,req-0151 FAILED test_checkout_consistency req-0291 req-0069 req-0246
10,151,req-0151,oracle,True,9,1,req-0151
10,416,req-0416,user_only,False,0,0,
10,416,req-0416,naive,False,177,18,req-0163 req-0152 req-0285 req-0229 req-0206 req-0166 req-0164 req-0062 test_checkout_consistency FAILED req-0416 req-0387 req-0148 req-0254 req-0218 req-0192 req-0085 req-0446
10,416,req-0416,bridge,True,69,6,req-0416 FAILED test_checkout_consistency req-0446 req-0085 req-0192
10,416,req-0416,oracle,True,9,1,req-0416
10,382,req-0382,user_only,False,0,0,
10,382,req-0382,naive,False,177,18,req-0192 req-0229 req-0378 req-0310 req-0254 req-0398 req-0324 req-0219 test_checkout_consistency FAILED req-0382 req-0064 req-0109 req-0183 req-0141 req-0347 req-0185 req-0069
10,382,req-0382,bridge,True,69,6,req-0382 FAILED test_checkout_consistency req-0069 req-0185 req-0347
10,382,req-0382,oracle,True,9,1,req-0382
10,409,req-0409,user_only,False,0,0,
10,409,req-0409,naive,False,177,18,req-0105 req-0355 req-0272 req-0226 req-0424 req-0210 req-0273 req-0360 test_checkout_consistency FAILED req-0409 req-0311 req-0109 req-0247 req-0345 req-0147 req-0180 req-0072
10,409,req-0409,bridge,True,69,6,req-0409 FAILED test_checkout_consistency req-0072 req-0180 req-0147
10,409,req-0409,oracle,True,9,1,req-0409
10,438,req-0438,user_only,False,0,0,
10,438,req-0438,naive,False,177,18,req-0412 req-0273 req-0050 req-0316 req-0325 req-0401 req-0418 req-0429 test_checkout_consistency FAILED req-0438 req-0427 req-0393 req-0150 req-0236 req-0270 req-0085 req-0390
10,438,req-0438,bridge,True,69,6,req-0438 FAILED test_checkout_consistency req-0390 req-0085 req-0270
10,438,req-0438,oracle,True,9,1,req-0438
10,264,req-0264,user_only,False,0,0,
10,264,req-0264,naive,False,177,18,req-0219 req-0370 req-0210 req-0390 req-0113 req-0419 req-0203 req-0310 test_checkout_consistency FAILED req-0264 req-0208 req-0392 req-0259 req-0217 req-0256 req-0407 req-0201
10,264,req-0264,bridge,True,69,6,req-0264 FAILED test_checkout_consistency req-0201 req-0407 req-0256
10,264,req-0264,oracle,True,9,1,req-0264
10,162,req-0162,user_only,False,0,0,
10,162,req-0162,naive,True,177,18,req-0334 req-0115 req-0148 req-0266 req-0391 req-0245 req-0397 req-0434 test_checkout_consistency FAILED req-0162 req-0139 req-0366 req-0342 req-0205 req-0258 req-0331 req-0050
10,162,req-0162,bridge,True,69,6,req-0162 FAILED test_checkout_consistency req-0050 req-0331 req-0258
10,162,req-0162,oracle,True,9,1,req-0162
10,279,req-0279,user_only,False,0,0,
10,279,req-0279,naive,True,177,18,req-0205 req-0196 req-0157 req-0270 req-0347 req-0361 req-0386 req-0214 test_checkout_consistency FAILED req-0279 req-0289 req-0276 req-0396 req-0159 req-0312 req-0293 req-0427
10,279,req-0279,bridge,True,69,6,req-0279 FAILED test_checkout_consistency req-0427 req-0293 req-0312
10,279,req-0279,oracle,True,9,1,req-0279
10,351,req-0351,user_only,False,0,0,
10,351,req-0351,naive,False,177,18,req-0136 req-0388 req-0093 req-0195 req-0313 req-0390 req-0375 req-0368 test_checkout_consistency FAILED req-0351 req-0221 req-0097 req-0435 req-0170 req-0395 req-0208 req-0165
10,351,req-0351,bridge,True,69,6,req-0351 FAILED test_checkout_consistency req-0165 req-0208 req-0395
10,351,req-0351,oracle,True,9,1,req-0351
10,192,req-0192,user_only,False,0,0,
10,192,req-0192,naive,True,177,18,req-0151 req-0125 req-0062 req-0073 req-0175 req-0294 req-0363 req-0444 test_checkout_consistency FAILED req-0192 req-0087 req-0284 req-0263 req-0373 req-0345 req-0149 req-0418
10,192,req-0192,bridge,True,69,6,req-0192 FAILED test_checkout_consistency req-0418 req-0149 req-0345
10,192,req-0192,oracle,True,9,1,req-0192
10,53,req-0053,user_only,False,0,0,
10,53,req-0053,naive,True,177,18,req-0407 req-0247 req-0304 req-0255 req-0175 req-0126 req-0386 req-0403 test_checkout_consistency FAILED req-0053 req-0052 req-0435 req-0445 req-0105 req-0449 req-0268 req-0163
10,53,req-0053,bridge,True,69,6,req-0053 FAILED test_checkout_consistency req-0163 req-0268 req-0449
10,53,req-0053,oracle,True,9,1,req-0053
10,131,req-0131,user_only,False,0,0,
10,131,req-0131,naive,True,177,18,req-0141 req-0407 req-0316 req-0288 req-0075 req-0336 req-0178 req-0112 test_checkout_consistency FAILED req-0131 req-0284 req-0118 req-0392 req-0322 req-0337 req-0355 req-0213
10,131,req-0131,bridge,True,69,6,req-0131 FAILED test_checkout_consistency req-0213 req-0355 req-0337
10,131,req-0131,oracle,True,9,1,req-0131
10,407,req-0407,user_only,False,0,0,
10,407,req-0407,naive,False,177,18,req-0437 req-0276 req-0363 req-0419 req-0308 req-0268 req-0330 req-0278 test_checkout_consistency FAILED req-0407 req-0131 req-0431 req-0293 req-0280 req-0182 req-0435 req-0176
10,407,req-0407,bridge,True,69,6,req-0407 FAILED test_checkout_consistency req-0176 req-0435 req-0182
10,407,req-0407,oracle,True,9,1,req-0407
10,435,req-0435,user_only,False,0,0,
10,435,req-0435,naive,False,177,18,req-0376 req-0191 req-0443 req-0449 req-0316 req-0298 req-0370 req-0172 test_checkout_consistency FAILED req-0435 req-0190 req-0275 req-0089 req-0415 req-0196 req-0170 req-0189
10,435,req-0435,bridge,True,69,6,req-0435 FAILED test_checkout_consistency req-0189 req-0170 req-0196
10,435,req-0435,oracle,True,9,1,req-0435
10,224,req-0224,user_only,False,0,0,
10,224,req-0224,naive,False,177,18,req-0221 req-0213 req-0327 req-0091 req-0120 req-0127 req-0168 req-0247 test_checkout_consistency FAILED req-0224 req-0406 req-0128 req-0412 req-0159 req-0082 req-0263 req-0259
10,224,req-0224,bridge,True,69,6,req-0224 FAILED test_checkout_consistency req-0259 req-0263 req-0082
10,224,req-0224,oracle,True,9,1,req-0224
10,424,req-0424,user_only,False,0,0,
10,424,req-0424,naive,False,177,18,req-0219 req-0327 req-0288 req-0262 req-0081 req-0155 req-0265 req-0249 test_checkout_consistency FAILED req-0424 req-0445 req-0349 req-0406 req-0060 req-0442 req-0344 req-0244
10,424,req-0424,bridge,True,69,6,req-0424 FAILED test_checkout_consistency req-0244 req-0344 req-0442
10,424,req-0424,oracle,True,9,1,req-0424
10,129,req-0129,user_only,False,0,0,
10,129,req-0129,naive,True,177,18,req-0295 req-0053 req-0231 req-0203 req-0436 req-0250 req-0265 req-0326 test_checkout_consistency FAILED req-0129 req-0433 req-0427 req-0330 req-0359 req-0163 req-0300 req-0190
10,129,req-0129,bridge,True,69,6,req-0129 FAILED test_checkout_consistency req-0190 req-0300 req-0163
10,129,req-0129,oracle,True,9,1,req-0129
10,160,req-0160,user_only,False,0,0,
10,160,req-0160,naive,True,177,18,req-0274 req-0299 req-0064 req-0250 req-0223 req-0393 req-0398 req-0258 test_checkout_consistency FAILED req-0160 req-0421 req-0134 req-0290 req-0115 req-0369 req-0324 req-0063
10,160,req-0160,bridge,True,69,6,req-0160 FAILED test_checkout_consistency req-0063 req-0324 req-0369
10,160,req-0160,oracle,True,9,1,req-0160
10,222,req-0222,user_only,False,0,0,
10,222,req-0222,naive,True,177,18,req-0252 req-0354 req-0339 req-0390 req-0063 req-0092 req-0380 req-0270 test_checkout_consistency FAILED req-0222 req-0119 req-0287 req-0143 req-0075 req-0183 req-0245 req-0217
10,222,req-0222,bridge,True,69,6,req-0222 FAILED test_checkout_consistency req-0217 req-0245 req-0183
10,222,req-0222,oracle,True,9,1,req-0222
10,441,req-0441,user_only,False,0,0,
10,441,req-0441,naive,False,177,18,req-0158 req-0282 req-0217 req-0222 req-0439 req-0244 req-0192 req-0435 test_checkout_consistency FAILED req-0441 req-0265 req-0179 req-0091 req-0290 req-0059 req-0433 req-0326
10,441,req-0441,bridge,True,69,6,req-0441 FAILED test_checkout_consistency req-0326 req-0433 req-0059
10,441,req-0441,oracle,True,9,1,req-0441
10,432,req-0432,user_only,False,0,0,
10,432,req-0432,naive,False,177,18,req-0076 req-0229 req-0164 req-0382 req-0085 req-0450 req-0383 req-0070 test_checkout_consistency FAILED req-0432 req-0437 req-0065 req-0176 req-0152 req-0060 req-0368 req-0128
10,432,req-0432,bridge,True,69,6,req-0432 FAILED test_checkout_consistency req-0128 req-0368 req-0060
10,432,req-0432,oracle,True,9,1,req-0432
10,244,req-0244,user_only,False,0,0,
10,244,req-0244,naive,True,177,18,req-0172 req-0114 req-0293 req-0393 req-0108 req-0339 req-0161 req-0289 test_checkout_consistency FAILED req-0244 req-0409 req-0181 req-0443 req-0238 req-0135 req-0361 req-0433
10,244,req-0244,bridge,True,69,6,req-0244 FAILED test_checkout_consistency req-0433 req-0361 req-0135
10,244,req-0244,oracle,True,9,1,req-0244
10,99,req-0099,user_only,False,0,0,
10,99,req-0099,naive,True,177,18,req-0418 req-0109 req-0449 req-0134 req-0210 req-0106 req-0347 req-0063 test_checkout_consistency FAILED req-0099 req-0345 req-0397 req-0243 req-0254 req-0417 req-0152 req-0088
10,99,req-0099,bridge,True,69,6,req-0099 FAILED test_checkout_consistency req-0088 req-0152 req-0417
10,99,req-0099,oracle,True,9,1,req-0099
10,233,req-0233,user_only,False,0,0,
10,233,req-0233,naive,True,177,18,req-0354 req-0404 req-0372 req-0174 req-0102 req-0407 req-0446 req-0204 test_checkout_consistency FAILED req-0233 req-0401 req-0358 req-0111 req-0340 req-0071 req-0227 req-0323
10,233,req-0233,bridge,True,69,6,req-0233 FAILED test_checkout_consistency req-0323 req-0227 req-0071
10,233,req-0233,oracle,True,9,1,req-0233
10,226,req-0226,user_only,False,0,0,
10,226,req-0226,naive,True,177,18,req-0270 req-0389 req-0240 req-0085 req-0310 req-0382 req-0224 req-0056 test_checkout_consistency FAILED req-0226 req-0266 req-0301 req-0104 req-0272 req-0236 req-0376 req-0286
10,226,req-0226,bridge,True,69,6,req-0226 FAILED test_checkout_consistency req-0286 req-0376 req-0236
10,226,req-0226,oracle,True,9,1,req-0226
10,359,req-0359,user_only,False,0,0,
10,359,req-0359,naive,False,177,18,req-0413 req-0128 req-0272 req-0140 req-0426 req-0317 req-0384 req-0188 test_checkout_consistency FAILED req-0359 req-0366 req-0325 req-0447 req-0297 req-0288 req-0273 req-0425
10,359,req-0359,bridge,True,69,6,req-0359 FAILED test_checkout_consistency req-0425 req-0273 req-0288
10,359,req-0359,oracle,True,9,1,req-0359
10,185,req-0185,user_only,False,0,0,
10,185,req-0185,naive,True,177,18,req-0354 req-0188 req-0216 req-0175 req-0094 req-0193 req-0281 req-0174 test_checkout_consistency FAILED req-0185 req-0435 req-0288 req-0342 req-0363 req-0393 req-0245 req-0223
10,185,req-0185,bridge,True,69,6,req-0185 FAILED test_checkout_consistency req-0223 req-0245 req-0393
10,185,req-0185,oracle,True,9,1,req-0185
10,72,req-0072,user_only,False,0,0,
10,72,req-0072,naive,True,177,18,req-0064 req-0304 req-0217 req-0144 req-0300 req-0159 req-0232 req-0183 test_checkout_consistency FAILED req-0072 req-0225 req-0194 req-0356 req-0410 req-0192 req-0335 req-0055
10,72,req-0072,bridge,True,69,6,req-0072 FAILED test_checkout_consistency req-0055 req-0335 req-0192
10,72,req-0072,oracle,True,9,1,req-0072
10,285,req-0285,user_only,False,0,0,
10,285,req-0285,naive,True,177,18,req-0315 req-0147 req-0093 req-0173 req-0419 req-0258 req-0301 req-0335 test_checkout_consistency FAILED req-0285 req-0439 req-0404 req-0294 req-0381 req-0415 req-0302 req-0279
10,285,req-0285,bridge,True,69,6,req-0285 FAILED test_checkout_consistency req-0279 req-0302 req-0415
10,285,req-0285,oracle,True,9,1,req-0285
10,324,req-0324,user_only,False,0,0,
10,324,req-0324,naive,False,177,18,req-0058 req-0097 req-0200 req-0163 req-0257 req-0405 req-0174 req-0206 test_checkout_consistency FAILED req-0324 req-0390 req-0348 req-0238 req-0292 req-0334 req-0321 req-0226
10,324,req-0324,bridge,True,69,6,req-0324 FAILED test_checkout_consistency req-0226 req-0321 req-0334
10,324,req-0324,oracle,True,9,1,req-0324
10,113,req-0113,user_only,False,0,0,
10,113,req-0113,naive,True,177,18,req-0268 req-0432 req-0332 req-0220 req-0231 req-0410 req-0283 req-0189 test_checkout_consistency FAILED req-0113 req-0207 req-0179 req-0169 req-0111 req-0420 req-0149 req-0212
10,113,req-0113,bridge,True,69,6,req-0113 FAILED test_checkout_consistency req-0212 req-0149 req-0420
10,113,req-0113,oracle,True,9,1,req-0113
10,243,req-0243,user_only,False,0,0,
10,243,req-0243,naive,True,177,18,req-0111 req-0431 req-0325 req-0441 req-0404 req-0144 req-0148 req-0160 test_checkout_consistency FAILED req-0243 req-0429 req-0298 req-0191 req-0421 req-0352 req-0440 req-0319
10,243,req-0243,bridge,True,69,6,req-0243 FAILED test_checkout_consistency req-0319 req-0440 req-0352
10,243,req-0243,oracle,True,9,1,req-0243
10,90,req-0090,user_only,False,0,0,
10,90,req-0090,naive,True,177,18,req-0356 req-0195 req-0102 req-0150 req-0202 req-0167 req-0235 req-0142 test_checkout_consistency FAILED req-0090 req-0205 req-0057 req-0413 req-0324 req-0115 req-0191 req-0073
10,90,req-0090,bridge,True,69,6,req-0090 FAILED test_checkout_consistency req-0073 req-0191 req-0115
10,90,req-0090,oracle,True,9,1,req-0090
10,332,req-0332,user_only,False,0,0,
10,332,req-0332,naive,False,177,18,req-0077 req-0334 req-0199 req-0408 req-0114 req-0377 req-0436 req-0301 test_checkout_consistency FAILED req-0332 req-0102 req-0056 req-0344 req-0195 req-0290 req-0295 req-0275
10,332,req-0332,bridge,True,69,6,req-0332 FAILED test_checkout_consistency req-0275 req-0295 req-0290
10,332,req-0332,oracle,True,9,1,req-0332
10,200,req-0200,user_only,False,0,0,
10,200,req-0200,naive,False,177,18,req-0225 req-0144 req-0076 req-0179 req-0295 req-0108 req-0083 req-0256 test_checkout_consistency FAILED req-0200 req-0302 req-0087 req-0346 req-0373 req-0402 req-0077 req-0127
10,200,req-0200,bridge,True,69,6,req-0200 FAILED test_checkout_consistency req-0127 req-0077 req-0402
10,200,req-0200,oracle,True,9,1,req-0200
10,371,req-0371,user_only,False,0,0,
10,371,req-0371,naive,False,177,18,req-0126 req-0338 req-0205 req-0093 req-0177 req-0110 req-0335 req-0442 test_checkout_consistency FAILED req-0371 req-0263 req-0360 req-0355 req-0366 req-0165 req-0448 req-0317
10,371,req-0371,bridge,True,69,6,req-0371 FAILED test_checkout_consistency req-0317 req-0448 req-0165
10,371,req-0371,oracle,True,9,1,req-0371
10,366,req-0366,user_only,False,0,0,
10,366,req-0366,naive,False,177,18,req-0244 req-0280 req-0276 req-0202 req-0351 req-0269 req-0206 req-0341 test_checkout_consistency FAILED req-0366 req-0368 req-0080 req-0362 req-0429 req-0100 req-0441 req-0156
10,366,req-0366,bridge,True,69,6,req-0366 FAILED test_checkout_consistency req-0156 req-0441 req-0100
10,366,req-0366,oracle,True,9,1,req-0366
10,235,req-0235,user_only,False,0,0,
10,235,req-0235,naive,False,177,18,req-0371 req-0158 req-0185 req-0389 req-0091 req-0130 req-0172 req-0138 test_checkout_consistency FAILED req-0235 req-0333 req-0088 req-0051 req-0260 req-0281 req-0403 req-0355
10,235,req-0235,bridge,True,69,6,req-0235 FAILED test_checkout_consistency req-0355 req-0403 req-0281
10,235,req-0235,oracle,True,9,1,req-0235
10,345,req-0345,user_only,False,0,0,
10,345,req-0345,naive,False,177,18,req-0290 req-0199 req-0066 req-0168 req-0197 req-0412 req-0194 req-0410 test_checkout_consistency FAILED req-0345 req-0282 req-0086 req-0402 req-0169 req-0185 req-0371 req-0352
10,345,req-0345,bridge,True,69,6,req-0345 FAILED test_checkout_consistency req-0352 req-0371 req-0185
10,345,req-0345,oracle,True,9,1,req-0345
10,148,req-0148,user_only,False,0,0,
10,148,req-0148,naive,True,177,18,req-0389 req-0152 req-0268 req-0108 req-0329 req-0166 req-0382 req-0126 test_checkout_consistency FAILED req-0148 req-0187 req-0122 req-0086 req-0080 req-0134 req-0208 req-0355
10,148,req-0148,bridge,True,69,6,req-0148 FAILED test_checkout_consistency req-0355 req-0208 req-0134
10,148,req-0148,oracle,True,9,1,req-0148
10,85,req-0085,user_only,False,0,0,
10,85,req-0085,naive,True,177,18,req-0434 req-0342 req-0198 req-0275 req-0114 req-0290 req-0403 req-0206 test_checkout_consistency FAILED req-0085 req-0409 req-0257 req-0190 req-0307 req-0327 req-0303 req-0092
10,85,req-0085,bridge,True,69,6,req-0085 FAILED test_checkout_consistency req-0092 req-0303 req-0327
10,85,req-0085,oracle,True,9,1,req-0085
10,73,req-0073,user_only,False,0,0,
10,73,req-0073,naive,True,177,18,req-0357 req-0070 req-0272 req-0427 req-0216 req-0360 req-0179 req-0063 test_checkout_consistency FAILED req-0073 req-0097 req-0168 req-0396 req-0345 req-0351 req-0060 req-0442
10,73,req-0073,bridge,True,69,6,req-0073 FAILED test_checkout_consistency req-0442 req-0060 req-0351
10,73,req-0073,oracle,True,9,1,req-0073
10,166,req-0166,user_only,False,0,0,
