category,budget,position,needle,condition,preserved,needle_selected,candidate_count,selected_candidates
request_id,10,257,req-0257,v2,True,True,6,req-0257 req-0146 req-0298 req-0285 req-0137 req-0122
request_id,10,257,req-0257,oracle,True,True,1,req-0257
request_id,10,370,req-0370,user_only,False,False,0,
request_id,10,370,req-0370,naive,False,True,21,req-0158 req-0370 req-0413 req-0339 req-0384 req-0201 req-0315 req-0084 req-0165 req-0156 req-0340 req-0399 req-0286 req-0058 req-0136 req-0247 req-0424 req-0347 req-0199 req-0279 req-0437
request_id,10,370,req-0370,v1,False,False,6,req-0437 req-0279 req-0199 req-0347 req-0424 req-0247
request_id,10,370,req-0370,v2,True,True,6,req-0370 req-0437 req-0279 req-0199 req-0347 req-0424
request_id,10,370,req-0370,oracle,True,True,1,req-0370
request_id,10,143,req-0143,user_only,False,False,0,
request_id,10,143,req-0143,naive,True,True,21,req-0249 req-0379 req-0132 req-0143 req-0341 req-0349 req-0148 req-0186 req-0092 req-0181 req-0070 req-0271 req-0122 req-0360 req-0188 req-0187 req-0261 req-0384 req-0292 req-0201 req-0119
request_id,10,143,req-0143,v1,False,False,6,req-0119 req-0201 req-0292 req-0384 req-0261 req-0187
request_id,10,143,req-0143,v2,True,True,6,req-0143 req-0119 req-0201 req-0292 req-0384 req-0261
request_id,10,143,req-0143,oracle,True,True,1,req-0143
request_id,10,254,req-0254,user_only,False,False,0,
request_id,10,254,req-0254,naive,False,True,21,req-0388 req-0375 req-0397 req-0059 req-0079 req-0068 req-0137 req-0409 req-0254 req-0378 req-0338 req-0314 req-0385 req-0098 req-0321 req-0438 req-0129 req-0179 req-0305 req-0142 req-0379
request_id,10,254,req-0254,v1,True,True,6,req-0379 req-0142 req-0305 req-0179 req-0129 req-0254
request_id,10,254,req-0254,v2,True,True,6,req-0254 req-0379 req-0142 req-0305 req-0179 req-0129
request_id,10,254,req-0254,oracle,True,True,1,req-0254
request_id,10,142,req-0142,user_only,False,False,0,
request_id,10,142,req-0142,naive,True,True,21,req-0417 req-0142 req-0357 req-0153 req-0215 req-0380 req-0430 req-0144 req-0203 req-0446 req-0389 req-0418 req-0281 req-0239 req-0078 req-0085 req-0228 req-0181 req-0285 req-0286 req-0278
request_id,10,142,req-0142,v1,True,True,6,req-0278 req-0286 req-0285 req-0181 req-0228 req-0142
request_id,10,142,req-0142,v2,True,True,6,req-0142 req-0278 req-0286 req-0285 req-0181 req-0228
request_id,10,142,req-0142,oracle,True,True,1,req-0142
request_id,10,228,req-0228,user_only,False,False,0,
request_id,10,228,req-0228,naive,True,True,21,req-0424 req-0228 req-0134 req-0260 req-0450 req-0307 req-0154 req-0357 req-0284 req-0375 req-0262 req-0232 req-0300 req-0282 req-0190 req-0392 req-0235 req-0222 req-0352 req-0110 req-0397
request_id,10,228,req-0228,v1,False,False,6,req-0397 req-0110 req-0352 req-0222 req-0235 req-0392
request_id,10,228,req-0228,v2,True,True,6,req-0228 req-0397 req-0110 req-0352 req-0222 req-0235
request_id,10,228,req-0228,oracle,True,True,1,req-0228
request_id,10,354,req-0354,user_only,False,False,0,
request_id,10,354,req-0354,naive,False,True,21,req-0093 req-0113 req-0275 req-0278 req-0387 req-0316 req-0354 req-0153 req-0298 req-0440 req-0297 req-0396 req-0054 req-0088 req-0319 req-0145 req-0204 req-0355 req-0377 req-0441 req-0189
request_id,10,354,req-0354,v1,False,False,6,req-0189 req-0441 req-0377 req-0355 req-0204 req-0145
request_id,10,354,req-0354,v2,True,True,6,req-0354 req-0189 req-0441 req-0377 req-0355 req-0204
request_id,10,354,req-0354,oracle,True,True,1,req-0354
request_id,10,141,req-0141,user_only,False,False,0,
request_id,10,141,req-0141,naive,True,True,21,req-0210 req-0245 req-0085 req-0238 req-0326 req-0331 req-0272 req-0227 req-0253 req-0141 req-0251 req-0414 req-0182 req-0073 req-0117 req-0305 req-0232 req-0388 req-0345 req-0096 req-0239
request_id,10,141,req-0141,v1,True,True,6,req-0239 req-0141 req-0096 req-0345 req-0388 req-0232
request_id,10,141,req-0141,v2,True,True,6,req-0141 req-0239 req-0096 req-0345 req-0388 req-0232
request_id,10,141,req-0141,oracle,True,True,1,req-0141
request_id,10,191,req-0191,user_only,False,False,0,
request_id,10,191,req-0191,naive,False,True,21,req-0051 req-0307 req-0392 req-0274 req-0120 req-0061 req-0191 req-0100 req-0318 req-0337 req-0119 req-0140 req-0317 req-0174 req-0304 req-0398 req-0371 req-0110 req-0303 req-0353 req-0101
request_id,10,191,req-0191,v1,True,True,6,req-0101 req-0191 req-0353 req-0303 req-0110 req-0371
request_id,10,191,req-0191,v2,True,True,6,req-0191 req-0101 req-0353 req-0303 req-0110 req-0371
request_id,10,191,req-0191,oracle,True,True,1,req-0191
request_id,10,197,req-0197,user_only,False,False,0,
request_id,10,197,req-0197,naive,True,True,21,req-0063 req-0246 req-0307 req-0197 req-0413 req-0053 req-0429 req-0299 req-0134 req-0227 req-0404 req-0405 req-0444 req-0275 req-0237 req-0114 req-0295 req-0362 req-0313 req-0150 req-0300
request_id,10,197,req-0197,v1,True,True,6,req-0300 req-0150 req-0197 req-0313 req-0362 req-0295
request_id,10,197,req-0197,v2,True,True,6,req-0197 req-0300 req-0150 req-0313 req-0362 req-0295
request_id,10,197,req-0197,oracle,True,True,1,req-0197
request_id,10,401,req-0401,user_only,False,False,0,
request_id,10,401,req-0401,naive,False,True,21,req-0330 req-0271 req-0380 req-0107 req-0065 req-0287 req-0430 req-0315 req-0401 req-0285 req-0422 req-0418 req-0400 req-0388 req-0319 req-0387 req-0148 req-0343 req-0257 req-0247 req-0250
request_id,10,401,req-0401,v1,True,True,6,req-0250 req-0247 req-0257 req-0343 req-0401 req-0148
request_id,10,401,req-0401,v2,True,True,6,req-0401 req-0250 req-0247 req-0257 req-0343 req-0148
request_id,10,401,req-0401,oracle,True,True,1,req-0401
request_id,10,362,req-0362,user_only,False,False,0,
request_id,10,362,req-0362,naive,False,True,21,req-0211 req-0221 req-0058 req-0331 req-0070 req-0130 req-0132 req-0376 req-0362 req-0444 req-0318 req-0254 req-0426 req-0158 req-0172 req-0368 req-0077 req-0255 req-0390 req-0353 req-0293
request_id,10,362,req-0362,v1,True,True,6,req-0293 req-0353 req-0390 req-0362 req-0255 req-0077
request_id,10,362,req-0362,v2,True,True,6,req-0362 req-0293 req-0353 req-0390 req-0255 req-0077
request_id,10,362,req-0362,oracle,True,True,1,req-0362
request_id,10,89,req-0089,user_only,False,False,0,
request_id,10,89,req-0089,naive,True,True,21,req-0247 req-0104 req-0312 req-0403 req-0361 req-0089 req-0346 req-0057 req-0303 req-0353 req-0355 req-0152 req-0331 req-0065 req-0315 req-0052 req-0248 req-0347 req-0088 req-0333 req-0106
request_id,10,89,req-0089,v1,True,True,6,req-0106 req-0333 req-0089 req-0088 req-0347 req-0248
request_id,10,89,req-0089,v2,True,True,6,req-0089 req-0106 req-0333 req-0088 req-0347 req-0248
request_id,10,89,req-0089,oracle,True,True,1,req-0089
request_id,10,377,req-0377,user_only,False,False,0,
request_id,10,377,req-0377,naive,False,True,21,req-0114 req-0218 req-0127 req-0440 req-0188 req-0172 req-0377 req-0280 req-0197 req-0337 req-0089 req-0167 req-0241 req-0150 req-0068 req-0216 req-0195 req-0058 req-0267 req-0257 req-0236
request_id,10,377,req-0377,v1,True,True,6,req-0236 req-0257 req-0267 req-0058 req-0377 req-0195
request_id,10,377,req-0377,v2,True,True,6,req-0377 req-0236 req-0257 req-0267 req-0058 req-0195
request_id,10,377,req-0377,oracle,True,True,1,req-0377
request_id,10,388,req-0388,user_only,False,False,0,
request_id,10,388,req-0388,naive,False,True,21,req-0315 req-0195 req-0212 req-0373 req-0269 req-0354 req-0130 req-0387 req-0432 req-0424 req-0388 req-0268 req-0400 req-0383 req-0223 req-0318 req-0244 req-0316 req-0204 req-0059 req-0300
request_id,10,388,req-0388,v1,True,True,6,req-0300 req-0059 req-0204 req-0388 req-0316 req-0244
request_id,10,388,req-0388,v2,True,True,6,req-0388 req-0300 req-0059 req-0204 req-0316 req-0244
request_id,10,388,req-0388,oracle,True,True,1,req-0388
request_id,10,224,req-0224,user_only,False,False,0,
request_id,10,224,req-0224,naive,False,True,21,req-0121 req-0252 req-0391 req-0140 req-0139 req-0195 req-0197 req-0119 req-0350 req-0229 req-0224 req-0175 req-0394 req-0050 req-0204 req-0357 req-0155 req-0101 req-0072 req-0122 req-0411
request_id,10,224,req-0224,v1,False,False,6,req-0411 req-0122 req-0072 req-0101 req-0155 req-0357
request_id,10,224,req-0224,v2,True,True,6,req-0224 req-0411 req-0122 req-0072 req-0101 req-0155
request_id,10,224,req-0224,oracle,True,True,1,req-0224
request_id,10,204,req-0204,user_only,False,False,0,
request_id,10,204,req-0204,naive,True,True,21,req-0241 req-0418 req-0111 req-0066 req-0284 req-0089 req-0078 req-0417 req-0204 req-0338 req-0121 req-0437 req-0268 req-0251 req-0208 req-0166 req-0215 req-0311 req-0323 req-0370 req-0235
request_id,10,204,req-0204,v1,True,True,6,req-0235 req-0370 req-0323 req-0311 req-0204 req-0215
request_id,10,204,req-0204,v2,True,True,6,req-0204 req-0235 req-0370 req-0323 req-0311 req-0215
request_id,10,204,req-0204,oracle,True,True,1,req-0204
request_id,10,84,req-0084,user_only,False,False,0,
request_id,10,84,req-0084,naive,True,True,21,req-0070 req-0198 req-0093 req-0231 req-0294 req-0084 req-0296 req-0175 req-0434 req-0290 req-0354 req-0203 req-0239 req-0181 req-0342 req-0258 req-0424 req-0341 req-0133 req-0099 req-0252
request_id,10,84,req-0084,v1,True,True,6,req-0252 req-0084 req-0099 req-0133 req-0341 req-0424
request_id,10,84,req-0084,v2,True,True,6,req-0084 req-0252 req-0099 req-0133 req-0341 req-0424
request_id,10,84,req-0084,oracle,True,True,1,req-0084
request_id,10,180,req-0180,user_only,False,False,0,
request_id,10,180,req-0180,naive,False,True,21,req-0333 req-0251 req-0088 req-0180 req-0265 req-0138 req-0307 req-0354 req-0422 req-0371 req-0300 req-0252 req-0169 req-0388 req-0065 req-0216 req-0054 req-0096 req-0083 req-0093 req-0378
request_id,10,180,req-0180,v1,False,False,6,req-0378 req-0093 req-0083 req-0096 req-0054 req-0216
request_id,10,180,req-0180,v2,True,True,6,req-0180 req-0378 req-0093 req-0083 req-0096 req-0054
request_id,10,180,req-0180,oracle,True,True,1,req-0180
request_id,10,384,req-0384,user_only,False,False,0,
request_id,10,384,req-0384,naive,False,True,21,req-0271 req-0420 req-0346 req-0145 req-0409 req-0312 req-0384 req-0087 req-0067 req-0272 req-0326 req-0390 req-0218 req-0089 req-0133 req-0217 req-0104 req-0449 req-0414 req-0320 req-0092
request_id,10,384,req-0384,v1,True,True,6,req-0092 req-0320 req-0414 req-0384 req-0449 req-0104
request_id,10,384,req-0384,v2,True,True,6,req-0384 req-0092 req-0320 req-0414 req-0449 req-0104
request_id,10,384,req-0384,oracle,True,True,1,req-0384
request_id,10,426,req-0426,user_only,False,False,0,
request_id,10,426,req-0426,naive,False,True,21,req-0304 req-0214 req-0177 req-0226 req-0390 req-0188 req-0217 req-0279 req-0383 req-0426 req-0180 req-0259 req-0065 req-0205 req-0148 req-0365 req-0079 req-0404 req-0163 req-0371 req-0260
request_id,10,426,req-0426,v1,True,True,6,req-0260 req-0371 req-0163 req-0404 req-0079 req-0426
request_id,10,426,req-0426,v2,True,True,6,req-0426 req-0260 req-0371 req-0163 req-0404 req-0079
request_id,10,426,req-0426,oracle,True,True,1,req-0426
request_id,10,267,req-0267,user_only,False,False,0,
request_id,10,267,req-0267,naive,False,True,21,req-0431 req-0165 req-0320 req-0405 req-0389 req-0221 req-0114 req-0139 req-0203 req-0393 req-0267 req-0149 req-0289 req-0078 req-0154 req-0428 req-0106 req-0122 req-0292 req-0223 req-0309
request_id,10,267,req-0267,v1,False,False,6,req-0309 req-0223 req-0292 req-0122 req-0106 req-0428
request_id,10,267,req-0267,v2,True,True,6,req-0267 req-0309 req-0223 req-0292 req-0122 req-0106
request_id,10,267,req-0267,oracle,True,True,1,req-0267
request_id,10,309,req-0309,user_only,False,False,0,
request_id,10,309,req-0309,naive,False,True,21,req-0173 req-0089 req-0317 req-0378 req-0309 req-0199 req-0079 req-0386 req-0414 req-0296 req-0242 req-0324 req-0209 req-0424 req-0366 req-0210 req-0405 req-0244 req-0291 req-0336 req-0328
request_id,10,309,req-0309,v1,True,True,6,req-0328 req-0336 req-0291 req-0244 req-0309 req-0405
request_id,10,309,req-0309,v2,True,True,6,req-0309 req-0328 req-0336 req-0291 req-0244 req-0405
request_id,10,309,req-0309,oracle,True,True,1,req-0309
request_id,10,166,req-0166,user_only,False,False,0,
request_id,10,166,req-0166,naive,True,True,21,req-0166 req-0333 req-0316 req-0379 req-0058 req-0303 req-0355 req-0296 req-0331 req-0172 req-0186 req-0308 req-0071 req-0101 req-0329 req-0309 req-0373 req-0371 req-0425 req-0397 req-0083
request_id,10,166,req-0166,v1,False,False,6,req-0083 req-0397 req-0425 req-0371 req-0373 req-0309
request_id,10,166,req-0166,v2,True,True,6,req-0166 req-0083 req-0397 req-0425 req-0371 req-0373
request_id,10,166,req-0166,oracle,True,True,1,req-0166
request_id,10,130,req-0130,user_only,False,False,0,
request_id,10,130,req-0130,naive,True,True,21,req-0385 req-0335 req-0190 req-0373 req-0130 req-0141 req-0253 req-0420 req-0216 req-0339 req-0262 req-0067 req-0160 req-0215 req-0381 req-0176 req-0312 req-0348 req-0410 req-0258 req-0087
request_id,10,130,req-0130,v1,True,True,6,req-0087 req-0258 req-0410 req-0130 req-0348 req-0312
request_id,10,130,req-0130,v2,True,True,6,req-0130 req-0087 req-0258 req-0410 req-0348 req-0312
request_id,10,130,req-0130,oracle,True,True,1,req-0130
request_id,10,222,req-0222,user_only,False,False,0,
request_id,10,222,req-0222,naive,True,True,21,req-0428 req-0252 req-0090 req-0295 req-0431 req-0222 req-0439 req-0206 req-0390 req-0351 req-0447 req-0170 req-0321 req-0350 req-0341 req-0419 req-0260 req-0357 req-0125 req-0183 req-0234
request_id,10,222,req-0222,v1,False,False,6,req-0234 req-0183 req-0125 req-0357 req-0260 req-0419
request_id,10,222,req-0222,v2,True,True,6,req-0222 req-0234 req-0183 req-0125 req-0357 req-0260
request_id,10,222,req-0222,oracle,True,True,1,req-0222
request_id,10,227,req-0227,user_only,False,False,0,
request_id,10,227,req-0227,naive,False,True,21,req-0238 req-0341 req-0224 req-0187 req-0154 req-0109 req-0165 req-0422 req-0227 req-0259 req-0232 req-0138 req-0281 req-0251 req-0447 req-0147 req-0369 req-0131 req-0430 req-0155 req-0249
request_id,10,227,req-0227,v1,True,True,6,req-0249 req-0155 req-0430 req-0131 req-0227 req-0369
request_id,10,227,req-0227,v2,True,True,6,req-0227 req-0249 req-0155 req-0430 req-0131 req-0369
request_id,10,227,req-0227,oracle,True,True,1,req-0227
request_id,10,162,req-0162,user_only,False,False,0,
request_id,10,162,req-0162,naive,True,True,21,req-0180 req-0399 req-0449 req-0117 req-0090 req-0437 req-0356 req-0253 req-0362 req-0162 req-0109 req-0156 req-0177 req-0384 req-0332 req-0435 req-0236 req-0119 req-0341 req-0080 req-0326
request_id,10,162,req-0162,v1,False,False,6,req-0326 req-0080 req-0341 req-0119 req-0236 req-0435
request_id,10,162,req-0162,v2,True,True,6,req-0162 req-0326 req-0080 req-0341 req-0119 req-0236
request_id,10,162,req-0162,oracle,True,True,1,req-0162
request_id,10,253,req-0253,user_only,False,False,0,
request_id,10,253,req-0253,naive,False,True,21,req-0435 req-0381 req-0173 req-0139 req-0102 req-0341 req-0306 req-0253 req-0064 req-0246 req-0218 req-0434 req-0358 req-0428 req-0206 req-0272 req-0180 req-0443 req-0370 req-0208 req-0448
request_id,10,253,req-0253,v1,True,True,6,req-0448 req-0208 req-0370 req-0443 req-0180 req-0253
request_id,10,253,req-0253,v2,True,True,6,req-0253 req-0448 req-0208 req-0370 req-0443 req-0180
request_id,10,253,req-0253,oracle,True,True,1,req-0253
request_id,10,282,req-0282,user_only,False,False,0,
request_id,10,282,req-0282,naive,False,True,21,req-0317 req-0253 req-0226 req-0359 req-0131 req-0431 req-0128 req-0281 req-0282 req-0192 req-0139 req-0197 req-0362 req-0327 req-0244 req-0077 req-0089 req-0113 req-0405 req-0268 req-0204
request_id,10,282,req-0282,v1,False,False,6,req-0204 req-0268 req-0405 req-0113 req-0089 req-0077
request_id,10,282,req-0282,v2,True,True,6,req-0282 req-0204 req-0268 req-0405 req-0113 req-0089
request_id,10,282,req-0282,oracle,True,True,1,req-0282
request_id,10,245,req-0245,user_only,False,False,0,
request_id,10,245,req-0245,naive,True,True,21,req-0077 req-0313 req-0429 req-0195 req-0245 req-0187 req-0450 req-0331 req-0188 req-0333 req-0325 req-0335 req-0183 req-0283 req-0255 req-0341 req-0338 req-0150 req-0323 req-0051 req-0431
request_id,10,245,req-0245,v1,False,False,6,req-0431 req-0051 req-0323 req-0150 req-0338 req-0341
request_id,10,245,req-0245,v2,True,True,6,req-0245 req-0431 req-0051 req-0323 req-0150 req-0338
request_id,10,245,req-0245,oracle,True,True,1,req-0245
request_id,10,133,req-0133,user_only,False,False,0,
request_id,10,133,req-0133,naive,True,True,21,req-0054 req-0417 req-0133 req-0234 req-0149 req-0207 req-0131 req-0283 req-0229 req-0184 req-0390 req-0404 req-0168 req-0056 req-0223 req-0080 req-0444 req-0322 req-0367 req-0110 req-0398
request_id,10,133,req-0133,v1,False,False,6,req-0398 req-0110 req-0367 req-0322 req-0444 req-0080
request_id,10,133,req-0133,v2,True,True,6,req-0133 req-0398 req-0110 req-0367 req-0322 req-0444
request_id,10,133,req-0133,oracle,True,True,1,req-0133
request_id,10,289,req-0289,user_only,False,False,0,
request_id,10,289,req-0289,naive,False,True,21,req-0205 req-0277 req-0162 req-0091 req-0068 req-0309 req-0289 req-0131 req-0324 req-0163 req-0269 req-0149 req-0292 req-0428 req-0194 req-0066 req-0335 req-0118 req-0215 req-0234 req-0423
request_id,10,289,req-0289,v1,True,True,6,req-0423 req-0234 req-0215 req-0289 req-0118 req-0335
request_id,10,289,req-0289,v2,True,True,6,req-0289 req-0423 req-0234 req-0215 req-0118 req-0335
request_id,10,289,req-0289,oracle,True,True,1,req-0289
request_id,10,241,req-0241,user_only,False,False,0,
request_id,10,241,req-0241,naive,True,True,21,req-0184 req-0056 req-0427 req-0260 req-0362 req-0232 req-0241 req-0261 req-0292 req-0420 req-0148 req-0383 req-0335 req-0243 req-0218 req-0280 req-0401 req-0136 req-0394 req-0192 req-0331
request_id,10,241,req-0241,v1,True,True,6,req-0331 req-0192 req-0394 req-0136 req-0401 req-0241
request_id,10,241,req-0241,v2,True,True,6,req-0241 req-0331 req-0192 req-0394 req-0136 req-0401
request_id,10,241,req-0241,oracle,True,True,1,req-0241
request_id,10,211,req-0211,user_only,False,False,0,
request_id,10,211,req-0211,naive,False,True,21,req-0446 req-0088 req-0224 req-0211 req-0258 req-0195 req-0414 req-0246 req-0100 req-0067 req-0450 req-0230 req-0189 req-0197 req-0345 req-0213 req-0196 req-0170 req-0200 req-0317 req-0099
request_id,10,211,req-0211,v1,True,True,6,req-0099 req-0317 req-0211 req-0200 req-0170 req-0196
request_id,10,211,req-0211,v2,True,True,6,req-0211 req-0099 req-0317 req-0200 req-0170 req-0196
request_id,10,211,req-0211,oracle,True,True,1,req-0211
request_id,10,364,req-0364,user_only,False,False,0,
request_id,10,364,req-0364,naive,False,True,21,req-0182 req-0423 req-0417 req-0313 req-0100 req-0123 req-0364 req-0062 req-0278 req-0148 req-0129 req-0303 req-0125 req-0061 req-0330 req-0157 req-0054 req-0245 req-0210 req-0052 req-0356
request_id,10,364,req-0364,v1,True,True,6,req-0356 req-0364 req-0052 req-0210 req-0245 req-0054
request_id,10,364,req-0364,v2,True,True,6,req-0364 req-0356 req-0052 req-0210 req-0245 req-0054
request_id,10,364,req-0364,oracle,True,True,1,req-0364
request_id,10,113,req-0113,user_only,False,False,0,
request_id,10,113,req-0113,naive,True,True,21,req-0287 req-0278 req-0146 req-0113 req-0415 req-0274 req-0281 req-0450 req-0205 req-0393 req-0236 req-0241 req-0345 req-0070 req-0210 req-0064 req-0230 req-0283 req-0364 req-0307 req-0404
request_id,10,113,req-0113,v1,False,False,6,req-0404 req-0307 req-0364 req-0283 req-0230 req-0064
request_id,10,113,req-0113,v2,True,True,6,req-0113 req-0404 req-0307 req-0364 req-0283 req-0230
request_id,10,113,req-0113,oracle,True,True,1,req-0113
request_id,10,148,req-0148,user_only,False,False,0,
request_id,10,148,req-0148,naive,True,True,21,req-0070 req-0336 req-0186 req-0149 req-0195 req-0380 req-0213 req-0391 req-0148 req-0259 req-0132 req-0267 req-0283 req-0307 req-0110 req-0093 req-0321 req-0069 req-0442 req-0142 req-0225
request_id,10,148,req-0148,v1,False,False,6,req-0225 req-0142 req-0442 req-0069 req-0321 req-0093
request_id,10,148,req-0148,v2,True,True,6,req-0148 req-0225 req-0142 req-0442 req-0069 req-0321
request_id,10,148,req-0148,oracle,True,True,1,req-0148
request_id,10,81,req-0081,user_only,False,False,0,
request_id,10,81,req-0081,naive,True,True,21,req-0190 req-0258 req-0081 req-0341 req-0126 req-0144 req-0444 req-0215 req-0264 req-0398 req-0191 req-0240 req-0125 req-0309 req-0387 req-0421 req-0390 req-0250 req-0157 req-0349 req-0244
request_id,10,81,req-0081,v1,True,True,6,req-0244 req-0349 req-0157 req-0250 req-0081 req-0390
request_id,10,81,req-0081,v2,True,True,6,req-0081 req-0244 req-0349 req-0157 req-0250 req-0390
request_id,10,81,req-0081,oracle,True,True,1,req-0081
request_id,10,216,req-0216,user_only,False,False,0,
request_id,10,216,req-0216,naive,False,True,21,req-0216 req-0149 req-0404 req-0159 req-0144 req-0206 req-0085 req-0086 req-0344 req-0244 req-0375 req-0389 req-0240 req-0293 req-0171 req-0054 req-0170 req-0384 req-0177 req-0321 req-0437
request_id,10,216,req-0216,v1,False,False,6,req-0437 req-0321 req-0177 req-0384 req-0170 req-0054
request_id,10,216,req-0216,v2,True,True,6,req-0216 req-0437 req-0321 req-0177 req-0384 req-0170
request_id,10,216,req-0216,oracle,True,True,1,req-0216
request_id,10,293,req-0293,user_only,False,False,0,
request_id,10,293,req-0293,naive,False,True,21,req-0261 req-0086 req-0211 req-0213 req-0138 req-0074 req-0347 req-0293 req-0399 req-0155 req-0447 req-0425 req-0243 req-0240 req-0315 req-0081 req-0446 req-0322 req-0139 req-0247 req-0225
request_id,10,293,req-0293,v1,True,True,6,req-0225 req-0247 req-0139 req-0322 req-0446 req-0293
request_id,10,293,req-0293,v2,True,True,6,req-0293 req-0225 req-0247 req-0139 req-0322 req-0446
request_id,10,293,req-0293,oracle,True,True,1,req-0293
request_id,10,182,req-0182,user_only,False,False,0,
request_id,10,182,req-0182,naive,False,True,21,req-0195 req-0061 req-0275 req-0315 req-0337 req-0179 req-0182 req-0185 req-0425 req-0204 req-0392 req-0370 req-0306 req-0270 req-0132 req-0095 req-0115 req-0238 req-0137 req-0074 req-0149
request_id,10,182,req-0182,v1,False,False,6,req-0149 req-0074 req-0137 req-0238 req-0115 req-0095
request_id,10,182,req-0182,v2,True,True,6,req-0182 req-0149 req-0074 req-0137 req-0238 req-0115
request_id,10,182,req-0182,oracle,True,True,1,req-0182
request_id,10,318,req-0318,user_only,False,False,0,
request_id,10,318,req-0318,naive,False,True,21,req-0132 req-0318 req-0373 req-0287 req-0197 req-0221 req-0222 req-0069 req-0075 req-0293 req-0218 req-0184 req-0378 req-0335 req-0286 req-0054 req-0271 req-0327 req-0165 req-0230 req-0093
request_id,10,318,req-0318,v1,False,False,6,req-0093 req-0230 req-0165 req-0327 req-0271 req-0054
request_id,10,318,req-0318,v2,True,True,6,req-0318 req-0093 req-0230 req-0165 req-0327 req-0271
request_id,10,318,req-0318,oracle,True,True,1,req-0318
request_id,10,100,req-0100,user_only,False,False,0,
